,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant_url,Restaurant_ownership,url links
20,https://s3-media0.fl.yelpcdn.com/bphoto/Fpx7ZCONWeYtoQjmfo3toA/l.jpg,Happy Fryer,9 Park Place Dover CT16 1DF United Kingdom,01304 206644,1 review,Fish & Chips,Mon 12:00 PM - 11:00 PM Tue 12:00 PM - 11:00 PM Closed now Wed 12:00 PM - 11:00 PM Thu 12:00 PM - 11:00 PM Fri 12:00 PM - 11:00 PM Sat 12:00 PM - 11:00 PM Sun 12:00 PM - 11:00 PM,5 star rating,http://www.dovermarinahotel.co…,Unclaimed,https://www.yelp.com/biz/happy-fryer-dover
21,https://s3-media0.fl.yelpcdn.com/bphoto/Fpx7ZCONWeYtoQjmfo3toA/l.jpg,Euro Chicken & Ribs,42 High Street Dover CT16 1EE United Kingdom,01304 242555,1 review,Fast Food,,4 star rating,http://www.dovermarinahotel.co…,Unclaimed,https://www.yelp.com/biz/euro-chicken-and-ribs-dover
22,https://s3-media0.fl.yelpcdn.com/bphoto/Fpx7ZCONWeYtoQjmfo3toA/l.jpg,Curry Garden,24 High Street Dover CT16 1DR United Kingdom,01304 212995,1 review,"Indian, Pakistani",,4 star rating,http://www.dovermarinahotel.co…,Unclaimed,https://www.yelp.com/biz/curry-garden-dover
23,https://s3-media0.fl.yelpcdn.com/bphoto/SYPm1NQfWFQG5tuImYUq5g/l.jpg,Castle Take Away,48 Castle Street Dover CT16 1PJ United Kingdom,01304 211838,7 reviews,Fish & Chips,Mon 11:30 AM - 10:30 PM Tue 11:30 AM - 10:30 PM Closed now Wed 11:30 AM - 10:30 PM Thu 11:30 AM - 10:30 PM Fri 11:30 AM - 11:00 PM Sat 11:30 AM - 11:00 PM Sun 12:00 PM - 9:30 PM,3.5 star rating,http://www.castletakeaway.co.u…,Claimed,https://www.yelp.com/biz/castle-take-away-dover
24,https://s3-media0.fl.yelpcdn.com/bphoto/fAdB6k0BqIQ-JKiYHWf6EQ/l.jpg,Brunch,22 Biggin Street Dover CT16 1BH United Kingdom,01304 448470,Cafes,Cafes,Mon 8:00 AM - 5:00 PM Tue 8:00 AM - 5:00 PM Closed now Wed 8:00 AM - 5:00 PM Thu 8:00 AM - 5:00 PM Fri 8:00 AM - 5:00 PM Sat 8:00 AM - 5:00 PM Sun 10:00 AM - 3:00 PM,3.5 star rating,http://www.brunchdover.co.uk,Claimed,https://www.yelp.com/biz/brunch-dover
25,https://s3-media0.fl.yelpcdn.com/bphoto/EkOiCJDuxLkFipcduTQvHA/l.jpg,The Little Kitchen,3 King Street Dover CT16 1NW United Kingdom,01304 201111,1 review,"Coffee & Tea, Cafes",Mon 8:00 AM - 3:30 PM Tue 8:00 AM - 3:30 PM Closed now Wed 8:00 AM - 3:30 PM Thu 8:00 AM - 3:30 PM Fri 8:00 AM - 3:30 PM Sat 8:00 AM - 3:30 PM Sun Closed,4 star rating,http://www.brunchdover.co.uk,Unclaimed,https://www.yelp.com/biz/the-little-kitchen-dover
26,https://s3-media0.fl.yelpcdn.com/bphoto/L-kCfZprFRLDHEEP7QDx-A/l.jpg,La Salle Verte Coffee Shop,14/15 Cannon Street Dover CT16 1BZ United Kingdom,01304 201547,1 review,Cafes,Mon 9:00 AM - 5:00 PM Tue 9:00 AM - 5:00 PM Closed now Wed 9:00 AM - 5:00 PM Thu 9:00 AM - 5:00 PM Fri 9:00 AM - 5:00 PM Sat 9:00 AM - 5:00 PM Sun Closed,4 star rating,http://www.brunchdover.co.uk,Unclaimed,https://www.yelp.com/biz/la-salle-verte-coffee-shop-dover
27,https://s3-media0.fl.yelpcdn.com/bphoto/EdJtbbztVN9pDEwyd7_cKw/l.jpg,Whitecliff Cafe,8 Park Place Dover CT16 1DF United Kingdom,07809 403740,Cafes,Cafes,Mon 6:00 AM - 6:30 PM Tue 6:00 AM - 6:30 PM Closed now Wed 6:00 AM - 6:30 PM Thu 6:00 AM - 6:30 PM Fri 6:00 AM - 6:30 PM Sat 6:00 AM - 6:30 PM Sun 6:00 AM - 5:00 PM,4 star rating,http://www.brunchdover.co.uk,Unclaimed,https://www.yelp.com/biz/whitecliff-cafe-dover
28,https://s3-media0.fl.yelpcdn.com/bphoto/EdJtbbztVN9pDEwyd7_cKw/l.jpg,Mr White's Chophouse,Dover Waterfront Waterloo Crescent Dover CT17 9BP United Kingdom,07737 478000,Steakhouses,Steakhouses,,4 star rating,http://www.brunchdover.co.uk,Unclaimed,https://www.yelp.com/biz/mr-whites-chophouse-dover
29,https://s3-media0.fl.yelpcdn.com/bphoto/EdJtbbztVN9pDEwyd7_cKw/l.jpg,The Smoker in Kent,61 Odo Road Dover Dover CT17 United Kingdom,07505 005244,"Caterers,","Caterers, Barbeque",Mon 9:00 AM - 5:00 PM Tue 9:00 AM - 5:00 PM Closed now Wed 9:00 AM - 5:00 PM Thu 9:00 AM - 5:00 PM Fri 9:00 AM - 5:00 PM Sat 9:00 AM - 5:00 PM Sun 9:00 AM - 5:00 PM,4 star rating,http://www.thesmokerinkent.co.…,Claimed,https://www.yelp.com/biz/the-smoker-in-kent-no-title
